id,question,choice_1,answer_1,choice_2,answer_2,choice_3,answer_3,choice_4,answer_4,choice_5,answer_5,media_exist,media_name,description
11,Yoqilgan zarg'aldoq rangli yalt-yalt etuvchi chiroq-mayoqcha harakatlanish uchun imtiyoz beradimi?,На,False,Yo'q,True,,,,,,,False,,"YHQ 6-bobi 29-bandiga asosan, zarg'aldoq yoki sariq rangli chiroq-mayoqchasi yoqilganda, yo'ldan foydalanish xizmatiga tegishli moslama va transport vositalarining haydovchilari ish bajarish jarayonida harakat xavfsizligini ta'minlash sharti bilan ushbu qoidalarning yo'l belgilari, chiziqlari hamda 67-71 i 121-bandlari talablaridan chetga chiqishlari mumkin. Boshqa haydovchilar ularning ish bajarishlariga to'sqinlik tug'dirmasliklari shart. Zarg'aldoq va sariq rangli chiroq-mayoqcha harakatlanishda imtiyoz bermaydi va u faqat boshqa harakat qatnashchilarining e'tiborini jalb etish uchun xizmat qiladi."
12,Quyidagi belgilar qaysi yo'nalishda harakatlanishga ruxsat beradi?,Faqat chapga,False,Faqat toʻgʻriga,False,Faqat o'ngga,False,"To'g'riga, o'ngga va qayrilishga",True,,,True,12,"YHQ 1-ilovasi 7-boʻlimidagi 7.3.1-7.3.3 qo'shimcha axborot belgilarining talabiga asosan, «Ta'sir yo'nalishlari» belgisi chorraha oldida oʻrnatilgan belgilarning ta'sir yo'nalishini ko'rsatadi."
13,Mazkur chiziq nima haqida ogohlantiradi?,Transport vositalarining majburiy to'xtash joyiga yaqinlashayotganligini,False,"«To'xtamasdan harakatlanish taqiqlangan> belgisi bilan birga qo'llanilganda, haydovchini «To'xtash» chizig'iga yaqinlashayotganligini",True,Transport vositasi piyodalarga yo'l berishi kerak bo'lgan joyni ko'rsatadi,False,,,,,True,13,"YHQ 2-ilovasidagi 1.21 chizig'i talabiga asosan, «to'xtash» yozuvi – 2.5 «To'xtamasdan harakatlanish taqiqlangan» belgisi bilan birga qo'llanilganda, haydovchini 1.12 chizig'iga yaqinlashayotganligi haqida ogohlantiradi."
14,Avtomagistralda quyidagilar taqiqlanadi:,Qayrilib olish va ajratuvchi bo'lakning texnologik uzilish joylariga kirish,False,Orqaga harakatlanish,False,«To'xtab turish joyi» yoki «Dam olish joyi» belgilari bo'lgan maxsus maydonchalardan tashqari joyda to'xtash,False,Yuqoridagi barcha holatlar,True,,,False,,"YHQ 19-bobi 121-bandi asosan, 5.15 yoki 6.11 belgili maxsus to'xtash joylaridan tashqarida to'xtash; ajratuvchi bo'lakning texnologik uzilish joylariga kirish va qayrilib olish; orqaga harakatlanish taqiqlanadi."
15,Qaysi transport vositasi haydovchisi to'g'riga harakatlanish huquqiga ega?,Avtobus va mototsikl haydovchilari,False,Yengil va yuk avtomobillari haydovchilari,False,Yengil avtomobil haydovchisi,True,,,,,True,15,"YHQ 7-bobi 38-bandiga asosan, tartibga soluvchining OʻNG QOʻLI OLDINGA UZATILGANDA, chap yonidan tramvayga chapga, relssiz transport vositalariga barcha yo'nalishlarda, oldi tomonidan barcha transport vositalariga faqat o'ngga harakatlanishga ruxsat etiladi. Orqa tomonidan va o'ng yonidan barcha transport vositalarining harakatlanishi taqiqlanadi. Piyodalarga tartibga soluvchining orqa tomonidan qatnov qismini kesib o'tishga ruxsat etiladi."
16,Qaysi transport vositasining haydovchisi yo'l berish kerak?,Avtomobil haydovchisi,False,Tramvay haydovchisi,True,,,,,,,True,16,"YHQ 15-bobi 100-bandiga asosan, svetoforning qizil yoki sariq ishorasi bilan bir vaqtda yongan qoʻshimcha tarmoqning yashil ishorasidagi yo'naltirgich yo'nalishida harakatlanayotgan transport vositasining haydovchisi boshqa yo'nalishlardagi transport vositalariga yo'l berishi kerak."
17,Transport vositasini orqaga harakatlantirish paytida haydovchi qanday talablarni bajarishi kerak?,"Harakatning boshqa ishtirokchilariga xalaqit bermaslik. Harakat xavfsizligini ta'minlash uchun zarur bo'lsa, boshqa shaxslar yordamidan foydalanish",True,Boshqa shaxslar yordamidan foydalanish,False,"Transport vositasida tumanga qarshi orqa chiroqlar bo'lsa, ularni yoqish",False,Gabarit chiroqlarini yoqish,False,,,False,,"YHQ 9-bobi 63-bandiga asosan, transport vositasini orqaga harakatlantirishda haydovchi yo'l harakati xavfsizligini ta'minlashi va boshqa yo'l harakati qatnashchilariga xalaqit bermasligi shart. Zarurat tug'ilganda, haydovchi boshqa shaxslarning yordamidan foydalanishi mumkin."
18,Yo'lning qarama-qarshi harakat yo'nalishi tomoniga chiqish qachon taqiqlanadi?,"Ikki tomonlama harakatli, 4 ta yoki undan koʻp boʻlakli yoʻllarda",False,"Ikki tomonlama harakatli, qarama-qarshi yo'nalishdagi transport vositalari oqimlari ikkita uzluksiz chiziqlar bilan ajratilgan 4 ta bo'lakli yo'llarda",False,Yuqoridagi barcha hollarda,True,,,,,False,,"YHQ 10-bobi 65-bandiga asosan, to'rt va undan ortiq bo'lakli, harakat ikki tomonlama bo'lgan yo'llarda qarama-qarshi yo'nalishda harakatlanish uchun mo'ljallangan bo'laklarga chiqish taqiqlanadi. YHQ 2-ilovasining 1.3 chizig'i talabiga asosan, 1.3 yotiq chizig'i to'rt va undan ortiq bo'lakli yoʻllarda qarama-qarshi transport oqimini ajratadi. 1.3 yotiq chizig'ni kesib oʻtish taqiqlanadi."
19,Qaysi holatda egri yoʻlda harakatlanayotgan avtomobil turg'unligi ta'minlanadi?,Uzatma ulangan holatda,True,Uzatma ajratilgan holatda,False,Tezlik oshirilganda,False,,,,,False,,"Burilishda harakatlanayotgan avtomobilda markazdan qochirma kuch vujudga keladi. Burilish o'ng tomonga boʻlgan holda siz qarama-qarshi yo'nalishda harakatlanish bo'lagiga, chap tomonga bo'lsa, yo'l yoqasi yoki uning tashqarisiga chiqib ketishingiz ehtimoli mavjud. Uzatma ajratilgan holatda avtomobil oʻzi harakatlanib, uni boshqarish murakkablashadi. Shu bois burilishga yaqin masofa qolganda, uning tikligini va tezligingizni baholab, uzatma mexanizmini ajratmay harakatni davom ettiring."
20,Qaysi transport vositalaridan foydalanish taqiqlanadi?,Gidravlik tormoz tizimidan suyuqlik oqayotgan bo'lsa,False,Ishchi tormoz tizimi ishlamayotgan bo'lsa,False,Kompressor pnevmatik tormoz tizimida o'rnatilgan bosimni ta'minlay olmagan holatda,False,Ko'rsatilgan barcha holatlarda,True,,,False,,"YHQ 3-ilovasi 1-bo'lim 1.3, 1.4-bandlariga asosan, transport vositasidan foydalanishni taqiqlovchi holatlar: gidravlik tormoz uzatmasining zichligi (germetikligi) buzilgan bo'lsa. Pnevmatik tormoz uzatmasining zichligi buzilishi natijasida havo siquvchi moslama (kompressor) ishlamay turganda va boshqaruv qismlari ulanmaganda - 30 daqiqada, ulanganida - 15 daqiqada tizimdagi havo bosiminig 0,05 MP (0,5 kg/kv.sm)dan ko'p pasayishiga sabab bo'lsa. YHQ 2-bobi 12-bandi asosan, transport vositasining tormoz tizimi yoki boshqaruvi ishdan chiqsa, transport vositasini boshqarish taqiqlanadi."
21,Haydovchi o'z harakati yo'nalishidan qat'i nazar kimga transport vositasini taqdim etishi kerak?,Yo'l xizmati xodimlariga,False,Tibbiyot xodimlariga zudlik bilan tibbiy yordamga muxtoj boʻlgan fuqarolarni davolash-profilaktika muassasasiga olib borish uchun.,True,,,,,,,False,,"YHQ 2-bobi 11-bandi 8-xatboshiga asosan, Zudlik bilan tibbiy yordamga muhtoj boʻlgan fuqarolarni davolash-profilaktika muassasasiga olib borish uchun tibbiyot xodimlariga transport vositasidan foydalanishga imkon berishi zarur."
22,Qaysi yo'nalishlarda harakatlanishga ruxsat etilgan?,Faqat B,False,Faqat A,False,A va B,True,"A, B, V va G",False,"A, B va v",False,True,22,"YHQ 1-ilovasining 4-boʻlimi 4.1.1. «Harakatlanish to'g'riga» belgisi yoʻl qismini boshlanishiga oʻrnatilsa, unga yaqin chorrahagacha amal qilinadi. Belgi o'ng tomonda joylashgan hovli va yo'lga tutash boshqa hududlarga burilishni taqiqlamaydi."
23,Qaysi belgi qarama-qarshi harakatlanishning ustunligini bildiradi?,1,False,2,True,3,False,4,False,5,False,True,23,"YHQ 1-ilovasining 2-boʻlimi 2.6 belgisiga asosan, qarama-qarshi harakatlanishni qiyinlashtiradigan hollarda yo'lning tor qismiga kirish taqiqlanadi. Haydovchi yo'lning tor qismida bo'lgan yoki tor qismiga yaqinlashayotgan transport vositasiga yo'l berishi kerak."
24,Qaysi belgi qoidalarning aholi punktlarida harakatlanish tartibini belgilaydigan talablari bekor qilinishini ko'rsatadi?,1,False,2,False,3,False,4,True,5,False,True,24,"YHQ 1-ilovasi 5.23 belgisi talabiga asosan, «Aholi punktining oxiri» belgisi Qoidalarning aholi punktlarida harakatlanish tartibi talablari bekor qilingan joyni bildiradi."
25,O‘ngga burilganda shu belgi bilan belgilangan boʻlakka o'tishga ruxsat etiladimi?,Ruxsat etiladi,False,Taqiqlanadi,False,"Agar bo'lak qolgan harakat qismidan yotiq uzluksiz chiziq bilan ajratilmagan bo'lsa, ruxsat etiladi",True,,,,,True,25,"YHQ 22-bobi 132-bandiga asosan, agar boʻlak yoʻl qatnov qismining boshqa bo'laklaridan uzuq-uzuq chizig'i bilan ajratilgan bo'lsa, burilmoqchi bo'layotgan transport vositalari bu boʻlakka qayta tizilishlari kerak."
26,Transport vositalari chorrahadan quyidagi tartibda o'tadilar:,"Tramvay va avtobus, yengil avtomobil",False,"Tramvay, yengil avtomobil, avtobus",False,"Yengil avtomobil, tramvay va avtobus",True,,,,,True,26,"YHQ 15-bobi 100-bandiga asosan, svetoforning qizil yoki sariq ishorasi bilan bir vaqtda yongan qo'shimcha tarmoqning yashil ishorasidagi yo'naltirgich yo'nalishida harakatlanayotgan transport vositasining haydovchisi boshqa yo'nalishlardagi transport vositalariga yo'l berishi kerak."
27,Avtomobilning qaysi g'ildiraklari <<sirpanib>> tormozlanishga ko'proq moyil?,Orqa g'ildiraklar,True,Oldingi g'ildiraklar,False,,,,,,,False,,"Inersiya kuchi ta'siri ostida avtomobilni tormozlash vaqtida o'qlarga tushadigan og'irlik qayta taqsimlanishi ro'y beradi. Old o'qqa nisbatan og'irlik ko'payadi, orqa o'qqa esa nisbatan kamayadi. Tormozlash sur'ati qanchalik baland bo'lsa, o'qlarga tushadigan og'irlik qayta taqsimlanishi sezilarliroq bo'ladi. Orqa o'qda og'irlik kamayishi bilan g'ildirakni yoʻlga bosuvchi kuchi kamayadi; shunday ekan g'ildirakning sirg'anish (aylanmasdan siljish) va avtomobilning surilib ketishi ehtimoli yuzaga keladi. Old o'qda ogʻirlik ko'payishi g'ildirakni yo'lga bosish kuchini ko'paytiradi, shunday ekan, sirg'anish ehtimoli kamayadi."
28,Qaysi transport vositalarini qatnov qismining chetida ikki qator qo'yish mumkin?,"Kajavasiz mototsikllar, mopedlar va velosipedlar",True,Kajavali mototsikllar,False,«Nogiron» taniqlik belgisi bo'lgan yengil avtomobillar,False,"Ruxsat etilgan to'la vazni 3,5 tonnadan kam bo'lgan, bevosita trotuarlar bo'ylab joylashgan savdo va boshqa korxonalarga xizmat qiluvchi yuk avtomobillari",False,,,False,,"YHQ 8-bobi 89-bandi asosan, transport vositalarini qatnov qismining cheti bo'ylab bir qator qilib, kajavasiz ikki g'ildirakli transport vositalarini esa ikki qator qilib qo'yishga ruxsat etiladi."
29,Qo'l jarohatlanganda kiyim qanday tartibda kiydiriladi?,"Kiyim avval jarohatlangan qoʻlga, so'ngra sog'iga kiydiriladi",True,Kiyim ikkala qo'lga baravar kiydiriladi,False,"Kiyim avval sog' qo'lga, so'ngra jarohatlangan qoʻlga kiydiriladi",False,,,,,False,,"Shikastlangan qo'l yoki oyoqni majburiy harakatga solmasdan kiyim kiydirish imkonini yaratish uchun avval kiyim shikastlangan, so'ngra shikastlanmagan qo'l yoki oyoqqa ehtiyotlik bilan kiydiriladi."
30,"Yuk transport vositasiga shunday joylashtirilishi kerakki, u:",Yukxona devorlaridan baland chiqmasligi kerak,False,"Shovqin hosil qilmasligi, chang ko'tarmasligi va atrof-muhitni ifloslantirmasligi kerak",True,"Transport vositasining orqa oʻlchamidan 0,8 metrdan ortiq chiqib turmasligi kerak",False,,,,,False,1,"YHQ 27-bobi 162-bandiga asosan, yuk transport vositasiga shunday joylashtirilishi kerakki, u shovqin solmasligi, chang ko'tarmasligi, yo'lni va atrof-muhitni iflos qilmasligi kerak."
31,Mazkur yo'l belgisi nimani bildiradi?,Yoʻlning trotuar yoki piyodalar yoʻlkasi boʻlgan qismini,False,Yoʻlning piyodalar o'tish joyi bo'lgan qismini,True,,,,,,,True,31,"YHQ 1-ilovasining 1-boʻlimi 1.20-bandiga asosan, «Piyodalar o'tish joyi» 5.16.1, 5.16.2 belgilari (yoki) 1.14.1-1.14.3 chiziqlari bilan belgilangan piyodalar o'tish joyi."
32,Qaysi transport vositalariga to'xtab turishga ruxsat etilgan?,Faqat mototsiklga,False,Faqat yuk avtomobiliga,False,Faqat yengil avtomobilga,False,Yengil avtomobil va mototsiklga,True,Barcha transport vositalariga,False,True,32,"YHQ 1-ilovasidagi 7.4.1 qo'shimcha axborot belgisi talabiga asosan, «Transport vositasining turi» belgisining ta'siri yuk tashuvchi, shu jumladan, tirkamali, to'la vazni 3,5 tonnadan ortiq boʻlgan transport vositalariga tatbiq etiladi."
33,Ushbu yo'l belgisi nima haqida ogohlantiradi?,Bir izli temir yo'l kesishmasiga yaqinlashayotganligi haqida,False,Shlagbaum bilan jihozlanmagan bir izli temir yo'l kesishmasi borligidan,True,Shlagbaum bilan jihozlanmagan ikki izli temir yo'l kesishmasi borligidan,False,,,,,True,33,YHQ 1-ilovasining 1-bo'limidagi 1.3.1 belgi «Bir izli temir yoʻl» – shlagbaum bilan jihozlanmagan bir izli temir yo'l kesishmasi xaqida ogohlantiradi.
34,Yashil avtomobil chorrahadan nechinchi boʻlib o'tadi?,Ikkinchi,True,Birinchi,False,,,,,,,True,34,"YHQ 15-bobi 99-bandiga asosan, svetoforning yashil ishorasida chapga burilayotgan yoki qayrilib olayotgan relssiz transport vositasining haydovchisi qarama-qarshi tomondan toʻgʻriga harakatlanayotgan va o'ngga burilayotgan transport vositalariga yo'l berishi shart."
35,Qaysi transport vositasiga harakatlanish ruxsat etiladi?,Mototsiklga,False,Yuk avtomobiliga,False,Avtobusga,False,Yengil avtomobilga,True,Yengil va yuk avtomobillariga,False,True,35,"YHQ 7-bobi 38-bandiga asosan, tartibga soluvchining QOʻLLARI YON TOMONGA UZATILGANDA YOKI TUSHIRILGANDA, chap va o'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat etiladi. Old va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi."
36,Qaysi transport vositasining haydovchisi yo'l berishi kerak?,Mototsikl haydovchisi,False,Avtomobil haydovchisi,True,,,,,,,True,36,"YHQ 15-bobi 100-bandiga asosan, svetoforning qizil yoki sariq ishorasi bilan bir vaqtda yongan qoʻshimcha tarmoqning yashil ishorasidagi yo'naltirgich yoʻnalishida harakatlanayotgan transport vositasining haydovchisi boshqa yo'nalishlardagi transport vositalariga yo'l berishi kerak."
37,"Harakat ikki tomonlama bo'lgan, uch bo'lakli yo'lda Siz o'ngga burilishingiz zarur. Ushbu harakatni qaysi bo'lakdan amalga oshirasiz?",O'ng bo'lakdan,True,Oʻrta bo'lakdan,False,O'ng yoki o'rta bo'lakdan,False,"O‘rta bo'lakdan, lekin faqat o'ng boʻlak band bo'lganda",False,,,False,1,"YHQ 9-bobi 56-bandiga asosan, aylanma harakatlanish tashkil qilingan chorrahalarga kirish uchun burilishdan boshqa barcha hollarda haydovchi o'ngga, chapga burilish yoki qayrilib olishdan oldin shu yo'nalishda harakatlanish uchun mo'ljallangan qatnov qismining eng chetki holatini egallashi shart."
38,Qaysi joylarda transport vositalariga qatnov qismining chetiga burchak ostida to'xtab turishga ruxsat etiladi?,Har bir yo'nalishda ikkitadan bo'lagi bo'lgan yo'llarda,False,Har bir yo'nalishda uchta va undan ko'p bo'lagi bo'lgan yo'llarda,False,Faqat bir tomonlama harakatli yoʻllarda,False,Yoʻlning qatnov qismi kengaygan joylarda boshqa yo'l harakati qatnashchilariga xalaqit bermaslik sharti bilan,True,,,False,1,"YHQ 13-bobi 89-bandiga asosan, yo'lning qatnov qismi kengaygan ayrim joylarida boshqa yo'l harakati qatnashchilariga xalaqit bermaslik sharti bilan transport vositalarini boshqacha tartibda ham qo'yishga ruxsat etiladi."
39,Suyak singanda qotirib bogʻlash uchun nimadan shina sifatida foydalanish eng qulay?,Bint,False,Gazmol,False,Taxta bo'lagi,True,,,,,False,1,"Suyaklar singanda shikastlangan qo'l yoki oyoqni har qanday qattiq vosita yordamida mustahkamlab, harakatsizlantirish (immobilizatsiya qilish) lozim."
40,Kunning qorong'i vaqtida sun'iy yoritilmagan yo'llarda yoki yetarli ko'rinmaslik sharoitida yonmaydigan orqa gabarit chiroqlari bilan to'xtab turish yoki ta'mirlash joyiga borishga ruxsat etiladimi?,Alohida ehtiyotkorlik bilan borishga ruxsat etiladi,False,Taqiqlanadi,True,,,,,,,False,1,"YHQ 2-bobi 12-bandi 3-xatboshiga asosan, transport vositasining tormoz tizimi yoki boshqaruvi ishdan chiqsa, ulagich moslamasi (avtopoyezd tarkibida) nosoz bo'lsa, qorong'i vaqtda yoki yetarlicha ko'rinmaslik sharoitida - faralar va orqa gabarit chiroqlari yonmasa, yomg'ir, qor yog'ayotgan vaqtda esa haydovchi tomonidagi oyna tozalagich ishlamay qolsa, bunday transport vositalarida harakatlanish taqiqlanadi."
41,Sanab o'tilgan hollarning qaysi birida haydovchi oʻzining transport vositasini ichki ishlar xodimi ixtiyoriga berishi shart?,Barcha hollarda,False,Kechiktirib bo'lmaydigan xizmat vazifalarini bajarish uchun,True,Ish joyiga borish uchun,False,,,,,False,1,"YHQ 2-bobi 11-bandi 8-xatboshiga asosan, 110 xodimlariga qonunda belgilangan xollarda kechiktirib boʻlmaydigan xizmat vazifasini bajarish uchun, shuningdek, yo'l transport hodisalari tufayli shikastlangan yoki nosoz transport vositasini olib ketish (shatakka olish) uchun (faqat yuk avtomobilida)"
42,,Yuk avtomobili haydovchisi,True,Avtobus haydovchisi,False,,,,,,,True,42,"YHQ 1-ilovasi 2.6 belgisiga asosan, «Roʻpara harakatning ustunligi» qarama-qarshi harakatlanishni qiyinlashtiradigan hollarda yo'lning tor qismiga kirishga taqiqlaydi. Haydovchi yoʻlning tor qismida boʻlgan yoki ro'paradan unga yaqin boʻlgan transport vositasiga yo'l berishi kerak."
43,Qaysi belgi transport vositalarining belgida ko'rsatilgandan kam oraliq masofada harakatlanishini taqiqlaydi?,1,False,2,False,3,True,4,False,5,False,True,43,"YHQ 1-ilovasining 3-boʻlimi 3.16 belgisiga asosan, «Eng kam oraliq» belgisida ko'rsatilganidan kam oraliq masofada harakatlanish taqiqlanadi."
44,Mazkur holatda avtobusning chorrahaga kirishiga ruxsat etiladimi?,Ruxsat etiladi,False,Taqiqlanadi,True,Agar avtobus belgilangan yo'nalish bo'yicha harakatlanayotgan bo'lsa ruxsat etiladi,False,,,,,True,44,"YHQ 14-bobi 97-bandiga asosan, tirbandlik tufayli to'xtashga majbur boʻlgan haydovchi, agar u ko'ndalang yo'nalishdagi transport vositalarining harakatlanishiga to'sqinlik tug'diradigan boʻlsa, uning chorraha yoki qatnov qismlari kesishmasiga kirishi taqiqlanadi."
45,Ko'rsatilgan vaziyatda qaysi bo'lakdan o'ngga burilish lozim?,Faqat ikkinchi bo'lakdan,False,Faqat «A» chizig'i bilan belgilangan o'ng chekkadagi boʻlakdan,True,,,,,,,True,45,"YHQ 22-bobi 132-bandiga asosan, belgilangan yo'nalishdagi transport vositalarining harakatlanishi uchun 5.9,5.10.1-5.10.3 yo'l belgilari bilan ajratilgan bo'lakda boshqa transport vositalarining harakatlanishi va to'xtashi taqiqlanadi. Agar bu boʻlak 5.9 belgisi bilan belgilangan hamda yo'l qatnov qismining boshqa joyidan uzuq-uzuq chiziq bilan ajratilgan bo'lsa, burilmoqchi bo'layotgan transport vositalari bu bo'lakka qayta tizilishlari kerak."
46,Tartibga soluvchining mazkur ishorasi quyidagini bildiradi:,"Ko'k, yashil avtomobillarga harakatlanishga ruxsat etiladi. Qizil, sariq, oq avtomobillarga taqiqlanadi",False,"Ko'k, qizil, yashil avtomobillarga harakatlanishga ruxsat etiladi. Sariq, oq avtomobillarga taqiqlanadi",True,,,,,,,True,46,"YHQ 7-bobi 38-bandiga asosan, O'NG QOʻLI OLDINGA UZATILGANDA, chap yonidan tramvayga chapga, relssiz transport vositalariga barcha yo'nalishlarda, oldi tomonidan barcha transport vositalariga faqat o'ngga harakatlanishga ruxsat etiladi. Orqa tomonidan va o'ng yonidan barcha transport vositalarining harakatlanishi taqiqlanadi. Piyodalarga tartibga soluvchining orqa tomonidan qatnov qismini kesib o'tishga ruxsat etiladi."
47,Aholi punktlaridan tashqarida yengil avtomobillarning qanday eng katta tezlik bilan harakatlanishiga ruxsat etiladi?,110 km/s,False,100 km/s,True,90 km/s,False,80 km/s,False,70 km/s,False,False,1,"YHQ 11-bobi 79-bandiga asosan, aholi punktlaridan tashqarida yengil avtomobillarga va ruxsat etilgan to'la vazni 3,5 tonnadan oshmaydigan yuk avtomobillariga tezlikni soatiga 100 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi."
